frequency [Hz], energy flux nu*F_nu [erg/(cm²s)]
304129605129038660, 3.040373849827342e-10
301504222530649500, 2.7812928184099126e-10
301108595394340160, 2.5921927085946745e-10
311084709977998460, 3.309947090289741e-10
331235147588221100, 3.507998982757103e-10
330330717652358100, 3.0295790809461024e-10
323370885691106560, 2.770198049673974e-10
318500080076247500, 2.6032530774882555e-10
318131290961191740, 2.4464398409005093e-10
351930260336434560, 4.149177620653847e-10
348919189775604800, 3.811365010060182e-10
358341815931673800, 3.537752779509539e-10
352889740324276030, 3.297125454251891e-10
347574304072413300, 3.0984253947678084e-10
383344885989274000, 4.4711137629377484e-10
380094392335488900, 4.124136452337183e-10
376006472345453000, 3.811953817008916e-10
394930645881645060, 4.908102825856368e-10
387205922072746400, 2.478032602881148e-10
414071024904033660, 4.4718260796175314e-10
402016900929763500, 4.124614287700164e-10
410298465584547650, 2.737337149211547e-10
429680563601767800, 5.355036781670071e-10
426519523284979460, 4.868388826300318e-10
425573452777145200, 2.9678103389279894e-10
409823383732152600, 2.5724470347191446e-10
438283118431442900, 3.197713283701711e-10
455306248916789760, 5.915394777621811e-10
461937291066980500, 5.211417353958197e-10
463717523545550100, 3.5104383757297516e-10
459595572847539460, 2.93770615184414e-10
476604597112520960, 3.1489773171145425e-10
493689887427463100, 6.74087168381761e-10
492870742042835460, 6.16654742030152e-10
492224008015005400, 5.747283836603602e-10
491373136435810900, 3.877775201476544e-10
501510937172241500, 3.4820436878442865e-10
522890642659950100, 7.263477502173285e-10
517706611047544000, 4.256970962903286e-10
507903965098827700, 3.2386794825755563e-10
539768409465434940, 6.568469513967055e-10
521136763789165900, 6.065927724826149e-10
531379464416770370, 3.830510888233151e-10
556765059153768700, 7.70127943712853e-10
548327906756504260, 4.587005103610197e-10
562874690531564400, 4.1532055111954237e-10
581043054989516400, 6.852945168151177e-10
580760389981499500, 4.942626107601218e-10
607075607504947800, 8.125386051168404e-10
601928035483815400, 7.494821778123979e-10
590599098539070500, 4.465850456439928e-10
615111188789521700, 5.325817671385174e-10
622711809521137000, 4.852059285091099e-10
659803803021258500, 8.383186826866217e-10
650362554847269600, 7.613352825121109e-10
655233157210284500, 5.774548674214855e-10
659391142586161000, 5.16366743955961e-10
695324844270282000, 9.318018614738612e-10
717668627372105700, 8.363832844343085e-10
693153180789756200, 7.879026830416694e-10
713721746197800300, 6.222597924831027e-10
